"FILE NAME","DATE","TIME","EXPTIME","LOCATION","INSTRUMENT","BUGS","UNIX","TEMP"
"2015-06-19T14-02-08.fits","2015-06-19","14:02:08","0.02","","Starlight Xpress CCD","0","1434722400","81.21"
"2015-06-19T16-59-10.fits","2015-06-19","16:59:10","0.5","","Starlight Xpress CCD","1","1434729600","84.51"
"2015-06-19T17-00-13.fits","2015-06-19","17:00:13","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-01-17.fits","2015-06-19","17:01:17","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-02-21.fits","2015-06-19","17:02:21","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-03-24.fits","2015-06-19","17:03:24","0.5","","Starlight Xpress CCD","2","1434733200","85.03"
"2015-06-19T17-04-28.fits","2015-06-19","17:04:28","0.5","","Starlight Xpress CCD","2","1434733200","85.03"
"2015-06-19T17-05-32.fits","2015-06-19","17:05:32","0.5","","Starlight Xpress CCD","2","1434733200","85.03"
"2015-06-19T17-06-35.fits","2015-06-19","17:06:35","0.5","","Starlight Xpress CCD","2","1434733200","85.03"
"2015-06-19T17-07-39.fits","2015-06-19","17:07:39","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-08-43.fits","2015-06-19","17:08:43","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-09-46.fits","2015-06-19","17:09:46","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-10-50.fits","2015-06-19","17:10:50","0.5","","Starlight Xpress CCD","2","1434733200","85.03"
"2015-06-19T17-11-53.fits","2015-06-19","17:11:53","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-35-14.fits","2015-06-19","17:35:14","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-36-17.fits","2015-06-19","17:36:17","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-40-32.fits","2015-06-19","17:40:32","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-41-36.fits","2015-06-19","17:41:36","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-42-39.fits","2015-06-19","17:42:39","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-43-43.fits","2015-06-19","17:43:43","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-44-47.fits","2015-06-19","17:44:47","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-45-50.fits","2015-06-19","17:45:50","0.5","","Starlight Xpress CCD","0","1434733200","85.03"
"2015-06-19T17-46-54.fits","2015-06-19","17:46:54","0.5","","Starlight Xpress CCD","0","1434733200","85.03"
"2015-06-19T17-47-57.fits","2015-06-19","17:47:57","0.5","","Starlight Xpress CCD","0","1434733200","85.03"
"2015-06-19T17-49-01.fits","2015-06-19","17:49:01","0.5","","Starlight Xpress CCD","0","1434733200","85.03"
"2015-06-19T17-50-05.fits","2015-06-19","17:50:05","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-51-08.fits","2015-06-19","17:51:08","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-52-12.fits","2015-06-19","17:52:12","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-06-19T17-53-16.fits","2015-06-19","17:53:16","0.5","","Starlight Xpress CCD","1","1434733200","85.03"
"2015-08-06T23-22-15.fits","2015-08-06","23:22:15","9000.0","","Starlight Xpress CCD","0","1438902000","76.62"
"2015-08-06T23-23-06.fits","2015-08-06","23:23:06","9045.0","","Starlight Xpress CCD","0","1438902000","76.62"
